tweet_id,created_at,tweet,category,sentiment,combined
1466950400888692739,2021-12-04 02:00:04+00:00,"I enjoyed Dune way more the 2nd time around. Intense in the OMNIMAX. I don't recommend the dome for any first time watch of a movie, but rendering a rewatch as a 200 degree hallucination is fun. https://t.co/VR16m1DYow"
1466957085502238722,2021-12-04 02:26:38+00:00,@ElijahZaynexxx Maybe《Dune》😂Maybe you know《the banker》I want to see this movie recently. It seems to be very interesting. https://t.co/j4uLBaQ7EM
1466957333188206595,2021-12-04 02:27:37+00:00,I would love a grimes’ dune movie
1466959166384185351,2021-12-04 02:34:54+00:00,"Disclaimer this is not a professional review, i just write to get somethjng out of my heart bcs im so happy finally after a long time, i can watch a proper movie after “dune” and this is just a sincere writings from a satisfied audience/reader, kudos @PalariFilms 🥂"
1466959174487752712,2021-12-04 02:34:56+00:00,"Wait, Ridley Scott Almost Made His Own Dune Movie? Why He Says He Backed Out https://t.co/kmJxXcQQ0P"
1466960705719083010,2021-12-04 02:41:01+00:00,"Before the Cameras Even Roll, “A Movie Lives or Dies by Casting” https://t.co/jUsFeg1Y26"
1466961575839993857,2021-12-04 02:44:29+00:00,"I'm so happy that Wheel of Time Series now on Amazon done well, same with latest Dune Movie HBO Max, can't help myself but suggest Harry Harrison Eden series starting with West of Eden, for a tv series Bio of Space Tyrant by Piers Anthony, apparently Xanth series being developed"
1466962493310488578,2021-12-04 02:48:07+00:00,"@Am_Sparky1 @HeatherThomasAF @BFPierceHawk @MrMo_Knows @Brad_of_Kauai @ClaudiaTiggs @ThomasRichmond @JimMulford3 @MoOubliette @MdlH @noondlyt @dannotdaniel @anotheroldgoat1 @CWTFD2 @MegLavDC @Baterdude @TaliaChristineX @DEFendFURiously @huckelboy @zooeymayonnaise @JulianNorwich1 @jadedcreative @DevinCow Hmm.  I was trying to think of musicians other than Bowie (“The Man Who Fell From Earth”) and Sting (“Dune”) who’ve acted in sci-fi movies, so I cheated…  These aren’t all sci-fi movies, but the list of artists who acted is a LOT longer than I thought!  https://t.co/0I8Z1JjIgB"
1466964051754459139,2021-12-04 02:54:19+00:00,"1.) HBO Max exists and most movies come to digital in about a month.  2.) If the movie is good or has a lot of hype behind it, people will show up (Shang-Chi, Dune, No Time To Die, Spider-Man: No Way Home).  3.) It’s not Post-COVID. https://t.co/EdJYD1U6bm"
1466965172422012932,2021-12-04 02:58:46+00:00,"Day 13 of #ornithopter from #dune slow modelling challenge. Was working on this back top vent parts. They are pretty obscured in all the shots and not that seen in the movie itself, so mostly it's based on physical model BGISupplies built. Ref. material vs my version: https://t.co/B5ospprsJM"
1466965564669272072,2021-12-04 03:00:20+00:00,Had to evacuate the movie theatre 45 minutes into Dune. Just kill me instead
1466965981314621445,2021-12-04 03:01:59+00:00,"Missed opportunity in the new Dune movie to use ""Weapon of Choice"" in the soundtrack."
1466967445176938496,2021-12-04 03:07:48+00:00,@Jayjmae Yes Dune was amazing! I liked his performance in Lady Bird I thought he played Kyle really well but I didn’t enjoy the movie tbh. I liked Hot Summer Nights better that one is 🔥🔥 so good!!
1466968586052939778,2021-12-04 03:12:20+00:00,my mom didnt wanna hear my improv recitation of the entire dune movie 🙁
1466970551981944836,2021-12-04 03:20:09+00:00,"@papaue00 oh omg, you know??? Would LOVE to write them going on a Dune movie date."
1466971242884435969,2021-12-04 03:22:53+00:00,"@RealChalamet @Zendaya @dunemovie @MissEssDeeBee @jonspaihts This movie was the best of 2021!! Fuck!!, it's excellent, both the plot and the production, the performance of those great actors. Pffff is a work of art! #DuneMovie #Dune https://t.co/AUc6pzKoPH"
1466971839947812868,2021-12-04 03:25:16+00:00,"anyway Dune is still the best movie of the year, it was even better the second time👌👌👌👌"
1466972120639062020,2021-12-04 03:26:23+00:00,@AyeyoKEJO (First time long time!) Have you seen the new Dune movie?
1466972357080358914,2021-12-04 03:27:19+00:00,@schwanktank I think the plan would be movie 2 is second half of dune and movie 3 is Messiah
1466973026616954888,2021-12-04 03:29:59+00:00,@westenthu Series: Kim’s convenience (ini dari Kanada sih.. not sure if it’s western🥲) Movie: Love hard &amp; Dune
